State (Emission order)	H3k27me3	H3k4me3	H2az	H3k4me2	H3k9ac	H3k27ac	H3k79me2	H3k04me1	H3k36me3	H3k09me3
1	1.778623677371314E-4	7.37305016950979E-5	0.001300964489707275	1.2983669364372743E-4	0.0026246874711416766	0.0018610878595650597	0.018714002062325357	0.007137488756120485	0.3019074196488987	0.0011321213793008893
2	3.0365000927848877E-4	8.126650978832146E-5	0.0024507759613928717	5.814736343469469E-4	0.0031076322187740496	0.0032397227580905777	0.6180779376906417	0.03260287794589363	0.13589519431236513	0.010265890482131586
3	4.470566981676818E-4	0.011257564442924493	0.006694952821985036	0.16754574729853067	0.06255507815726749	0.10375495376531532	0.8576543975563488	0.8476931290835089	0.19447870380680118	0.0038151899354155047
4	0.031122952732448122	0.004298985793892426	0.06566339402382892	0.10020730198533327	0.019634495046853426	0.04695827903188299	0.00967278661198384	0.7752590317680299	0.014580456457581076	0.0061468332125258485
5	0.0089578325839024	0.24861610400549278	0.1560957639868514	0.8437353694172288	0.658072968004986	0.6775299694701761	0.405776795500177	0.9308266425297793	0.05743207015668126	0.0032330251094214195
6	0.44559080277391194	0.9493566044236876	0.3101840365890476	0.9696374718569664	0.9908011097784609	0.8045738193234893	0.5530339320591682	0.2390885427647543	0.015536793086267755	0.005183377227608751
7	0.2954778923821888	0.6015788563944633	0.2917436613605003	0.7940377088954411	0.3199907314449718	0.014403847522268731	0.020073090046390882	0.6094197830436433	0.0014451847166998446	0.023786763691638565
8	0.3758011686024588	0.0013722363173790256	0.017565973377430873	0.0010774709573364229	0.0018653770830136807	1.3401958563292661E-5	2.730269974304644E-4	0.014656310095444575	2.1275129181137507E-4	0.0030219123544400293
9	0.004938858157461253	3.212348142886845E-5	0.004739493208308211	1.436394060972091E-4	2.988353182775702E-4	1.879686494453116E-5	4.178133463565931E-4	8.941819058876313E-4	8.934839390262869E-4	0.003004404067125149
10	0.005441451412857908	2.1529489486300945E-4	0.013875045455603278	2.294521957293698E-4	3.604028827384086E-4	1.0279919595719387E-4	0.002109414583814606	8.810848934874568E-4	0.0027571298810143297	0.5425674740197426
