State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.974125020423066	0.006862842709208977	0.0019071147702142772	0.006775798503368914	2.2577306425561412E-4	2.6289704410075E-5	7.23293907406136E-6	0.0	0.00981121289910089	2.5871498730124E-4
2	0.017959024258269868	0.9256299412083325	0.05113039806289578	7.468619585285157E-4	1.270696773365149E-4	2.6588746682927746E-4	3.241601752067181E-5	0.0	0.0038495101163235866	2.5889123396323585E-4
3	0.011663314069917455	0.11320736322401163	0.8203134983169221	0.0066165279221159536	0.04625846558129135	0.0017951848724992356	8.34713721523334E-5	0.0	0.0	6.217464108982137E-5
4	0.013561800359492306	5.565833203310945E-4	0.0024374296076503585	0.7782600336726057	0.02893004654019261	7.407939797150608E-5	0.03125865145541688	0.01110059722278985	0.13281478411228625	0.001005994311263414
5	0.001549910511397811	3.312661681543758E-4	0.06083269978970897	0.10485006899685748	0.7738633221297636	0.05856145784302061	1.1274561097014016E-5	0.0	0.0	0.0
6	1.7693051288898449E-4	8.774483019933472E-4	0.0032559947268056937	5.113042479222708E-4	0.07233950431161419	0.8489615099136925	0.07217008725886	0.0	0.0014407457203831728	2.6647500583991483E-4
7	1.396508362193257E-4	1.027874064559665E-4	1.2105630847288172E-4	0.10052207947101807	6.885993837085544E-5	0.05352136146021058	0.7391744440857733	0.06083723560103502	0.04079972015724483	0.0047128047351989956
8	0.0	2.042964120216872E-6	0.0	0.004735383610024253	0.0	0.0	0.008027280775556514	0.9527426089767501	0.03407914113936241	4.1354253418651423E-4
9	9.475680651780578E-4	1.3738945230656996E-4	0.0	0.006525711760852969	0.0	1.7116219947823504E-5	6.432749451042188E-4	0.003956036704527963	0.9843182830528255	0.003454619799257006
10	2.1852336119809092E-4	1.0536967976253679E-4	6.402198838940989E-6	4.4937058292026755E-4	0.0	2.9684547549129036E-5	6.42893898221704E-4	3.9392535828437075E-4	0.030350811578219238	0.9678030187950059
